IP 地址,端口,运营商,延迟(ms),丢包率(%)
104.27.102.126,443,多线,17.6,0.0
104.16.52.109,443,移动,18.0,0.1
141.101.114.9,443,多线,18.0,0.1
141.101.115.189,443,多线,18.1,0.1
104.27.107.106,443,多线,18.8,0.0
141.101.123.54,443,多线,18.8,0.1
104.27.118.175,443,多线,19.0,0.0
104.27.105.238,443,多线,19.0,0.0
104.27.105.103,443,多线,19.1,0.0
104.16.78.163,443,移动,19.2,0.1
104.27.112.211,443,多线,19.4,0.0
104.27.89.59,443,多线,19.4,0.0
141.101.114.28,443,多线,19.5,0.1
104.27.120.133,443,多线,19.6,0.0
141.101.114.58,443,多线,19.6,0.1
104.27.28.165,443,多线,19.9,0.0
104.27.112.116,443,多线,20.1,0.0
104.27.107.216,443,多线,20.1,0.0
104.27.69.104,443,多线,20.1,0.0
104.16.232.229,443,移动,20.2,0.1
104.27.113.95,443,多线,20.4,0.0
104.27.113.135,443,多线,20.5,0.0
104.27.111.132,443,多线,20.6,0.0
141.101.113.248,443,多线,20.7,0.1
104.27.112.91,443,多线,20.7,0.0
104.27.109.149,443,多线,20.8,0.0
104.27.106.77,443,多线,20.8,0.0
141.101.113.68,443,多线,20.8,0.1
141.101.115.244,443,多线,20.8,0.1
104.27.66.217,443,多线,20.9,0.0
104.27.114.194,443,多线,20.9,0.0
104.27.36.172,443,多线,20.9,0.0
104.27.106.137,443,多线,21.0,0.0
104.27.107.211,443,多线,21.1,0.0
104.27.103.205,443,多线,21.1,0.0
104.27.36.92,443,多线,21.2,0.0
104.27.106.192,443,多线,21.2,0.0
104.27.34.34,443,多线,21.2,0.0
104.27.78.130,443,多线,21.3,0.0
104.27.115.233,443,多线,21.3,0.0
104.27.26.17,443,多线,21.4,0.0
104.27.97.241,443,多线,21.4,0.0
104.27.101.192,443,多线,21.5,0.0
104.27.122.21,443,多线,21.6,0.0
104.27.77.56,443,多线,21.6,0.0
104.27.114.224,443,多线,21.6,0.0
104.27.102.141,443,多线,21.7,0.0
141.101.114.129,443,多线,21.7,0.1
141.101.114.71,443,多线,21.8,0.1
104.27.77.111,443,多线,21.9,0.0
104.27.95.103,443,多线,21.9,0.0
104.27.112.141,443,多线,21.9,0.0
104.17.42.183,443,多线,22.0,0.1
104.27.109.94,443,多线,22.1,0.0
141.101.115.182,443,多线,22.1,0.1
104.27.118.230,443,多线,22.1,0.0
104.27.60.48,443,多线,22.1,0.0
104.27.115.223,443,多线,22.2,0.0
104.27.107.166,443,多线,22.2,0.0
104.27.114.209,443,多线,22.2,0.0
104.27.122.71,443,多线,22.2,0.0
104.27.114.204,443,多线,22.3,0.0
104.27.93.170,443,多线,22.5,0.0
104.27.72.146,443,多线,22.5,0.0
104.27.109.154,443,多线,22.5,0.0
104.27.118.235,443,多线,22.7,0.0
104.27.116.157,443,多线,22.7,0.0
141.101.114.243,443,多线,22.7,0.1
