IP 地址,端口,运营商,延迟(ms),丢包率(%)
104.18.46.217,443,移动,15.7,0.1
104.18.46.255,443,移动,16.7,0.1
104.18.21.142,443,移动,21.2,0.1
104.21.16.53,443,多线,22.8,0.2
104.18.139.45,443,移动,23.7,0.0
104.18.5.106,443,移动,28.5,0.1
104.18.29.57,443,移动,33.8,0.1
104.18.10.235,443,移动,34.1,0.1
104.18.14.76,443,移动,34.1,0.1
104.18.46.197,443,移动,36.1,0.1
104.18.47.198,443,移动,36.5,0.1
104.18.46.227,443,移动,38.7,0.1
104.18.46.189,443,移动,38.7,0.1
104.18.46.246,443,移动,39.2,0.1
104.18.14.134,443,移动,39.7,0.1
104.18.46.3,443,移动,40.4,0.1
104.18.46.188,443,移动,40.7,0.2
104.18.20.70,443,移动,41.0,0.1
104.19.80.153,443,移动,41.8,0.2
104.18.46.233,443,移动,42.8,0.1
104.18.18.131,443,移动,43.1,0.1
104.18.46.251,443,移动,43.2,0.1
104.18.0.181,443,移动,43.3,0.1
104.18.13.210,443,移动,43.3,0.1
104.18.16.158,443,移动,43.5,0.1
104.18.18.36,443,移动,43.6,0.1
104.18.13.187,443,移动,43.8,0.1
104.18.52.98,443,移动,44.1,0.0
104.18.29.40,443,移动,44.2,0.1
104.18.15.69,443,移动,44.2,0.1
104.18.11.170,443,移动,44.3,0.1
104.18.10.39,443,移动,44.5,0.1
104.18.12.48,443,移动,44.6,0.1
104.18.53.1,443,移动,44.7,0.0
104.18.21.53,443,移动,44.7,0.1
104.18.3.1,443,移动,44.8,0.1
104.18.29.70,443,移动,45.8,0.1
104.18.18.28,443,移动,45.9,0.1
104.18.5.235,443,移动,45.9,0.1
104.18.15.50,443,移动,46.1,0.1
104.18.29.62,443,移动,46.2,0.1
104.18.10.36,443,移动,46.3,0.1
104.18.16.106,443,移动,46.7,0.1
104.18.46.204,443,移动,47.1,0.1
104.18.46.235,443,移动,47.4,0.1
104.18.14.188,443,移动,47.6,0.1
104.18.11.94,443,移动,47.9,0.1
104.18.18.251,443,移动,48.0,0.1
104.18.11.148,443,移动,48.0,0.1
104.18.47.0,443,移动,48.2,0.1
