IP 地址,端口,运营商,延迟(ms),丢包率(%)
104.20.58.131,443,电信,18.0,0.0
104.20.34.77,443,电信,19.3,0.0
104.20.41.51,443,电信,19.7,0.0
104.20.41.40,443,电信,20.0,0.0
104.20.35.172,443,电信,20.6,0.0
104.20.34.88,443,电信,21.0,0.0
104.20.45.51,443,电信,22.3,0.0
104.20.20.170,443,电信,23.6,0.0
104.20.2.224,443,电信,23.8,0.0
104.20.18.174,443,电信,24.2,0.0
104.20.6.167,443,电信,24.2,0.0
104.20.9.204,443,电信,24.7,0.0
104.20.6.150,443,电信,24.7,0.0
104.20.7.36,443,电信,24.8,0.0
104.20.37.142,443,电信,24.8,0.0
104.20.5.143,443,电信,24.8,0.0
104.20.8.191,443,电信,24.8,0.0
104.20.2.212,443,电信,24.9,0.0
104.20.7.218,443,电信,24.9,0.0
104.20.1.63,443,电信,25.0,0.0
104.20.7.245,443,电信,25.4,0.0
104.20.34.175,443,电信,25.4,0.0
104.20.39.255,443,电信,25.4,0.0
104.20.7.16,443,电信,25.4,0.0
104.20.10.106,443,电信,25.5,0.0
104.20.41.206,443,电信,25.5,0.0
104.20.10.88,443,电信,25.5,0.0
104.20.21.13,443,电信,26.3,0.0
104.20.21.27,443,电信,26.6,0.0
104.20.7.253,443,电信,26.7,0.0
104.20.5.57,443,电信,27.3,0.0
104.20.6.77,443,电信,28.1,0.0
104.20.4.82,443,电信,28.2,0.0
104.20.1.60,443,电信,28.2,0.0
104.20.0.217,443,电信,28.2,0.0
104.20.0.202,443,电信,28.3,0.0
104.20.0.26,443,电信,28.4,0.0
104.20.3.141,443,电信,28.4,0.0
104.20.0.30,443,电信,28.6,0.0
104.20.0.243,443,电信,28.6,0.0
104.20.7.45,443,电信,28.7,0.0
104.20.9.54,443,电信,29.0,0.0
104.20.5.6,443,电信,29.0,0.0
104.20.3.54,443,电信,29.1,0.0
104.20.0.201,443,电信,29.5,0.0
104.20.4.178,443,电信,29.6,0.0
104.20.1.215,443,电信,29.8,0.0
104.20.0.250,443,电信,29.8,0.0
104.20.3.63,443,电信,29.8,0.0
104.20.0.187,443,电信,30.1,0.0
104.20.3.33,443,电信,30.6,0.0
104.20.6.92,443,电信,30.6,0.0
104.20.7.136,443,电信,30.7,0.0
104.20.3.159,443,电信,31.5,0.0
104.20.6.68,443,电信,31.5,0.0
104.20.3.235,443,电信,31.8,0.0
104.20.7.64,443,电信,32.3,0.0
104.20.0.165,443,电信,32.4,0.0
104.20.2.29,443,电信,32.9,0.0
104.20.5.62,443,电信,33.0,0.0
104.20.8.127,443,电信,33.1,0.0
104.20.0.208,443,电信,33.4,0.0
104.20.0.199,443,电信,34.4,0.0
104.20.6.54,443,电信,34.5,0.0
104.20.3.55,443,电信,34.7,0.0
104.20.0.188,443,电信,34.8,0.0
104.20.41.211,443,电信,34.8,0.0
104.20.9.73,443,电信,35.6,0.0
104.20.28.64,443,电信,39.3,0.0
104.20.22.198,443,电信,41.8,0.0
104.20.21.18,443,电信,42.1,0.0
104.20.4.142,443,电信,43.6,0.0
104.20.7.232,443,电信,44.2,0.0
162.159.236.176,443,电信,45.2,0.0
162.159.224.20,443,电信,46.4,0.0
162.159.239.184,443,电信,46.6,0.0
104.20.7.189,443,电信,48.2,0.0
104.20.8.55,443,电信,49.1,0.0
162.159.233.171,443,电信,49.5,0.0
162.159.236.182,443,电信,49.6,0.0
162.159.239.162,443,电信,50.0,0.0
162.159.233.152,443,电信,50.4,0.0
162.159.224.71,443,电信,50.6,0.0
162.159.233.183,443,电信,50.9,0.0
162.159.233.188,443,电信,50.9,0.0
162.159.233.205,443,电信,51.6,0.0
162.159.224.115,443,电信,51.8,0.0
162.159.233.175,443,电信,52.9,0.0
162.159.233.174,443,电信,53.2,0.0
162.159.233.204,443,电信,53.3,0.0
162.159.224.18,443,电信,53.8,0.0
162.159.233.141,443,电信,53.9,0.0
162.159.224.64,443,电信,54.2,0.0
162.159.233.145,443,电信,54.3,0.0
162.159.233.192,443,电信,54.4,0.0
162.159.224.106,443,电信,54.4,0.0
162.159.224.61,443,电信,54.6,0.0
162.159.224.78,443,电信,54.7,0.0
162.159.233.147,443,电信,55.5,0.0
162.159.224.119,443,电信,60.4,0.0
162.159.233.157,443,电信,73.8,0.0
162.159.239.170,443,电信,85.4,0.0
162.159.224.16,443,电信,87.3,0.0
162.159.233.149,443,电信,90.5,0.0
162.159.224.120,443,电信,90.8,0.0
162.159.233.206,443,电信,90.9,0.0
162.159.233.125,443,电信,91.1,0.0
162.159.233.182,443,电信,91.2,0.0
162.159.224.114,443,电信,91.2,0.0
162.159.233.151,443,电信,91.4,0.0
162.159.224.102,443,电信,91.4,0.0
162.159.224.43,443,电信,91.5,0.0
162.159.233.163,443,电信,91.5,0.0
162.159.224.69,443,电信,91.6,0.0
162.159.233.187,443,电信,91.8,0.0
162.159.236.181,443,电信,92.0,0.0
162.159.224.111,443,电信,92.1,0.0
162.159.233.167,443,电信,92.2,0.0
162.159.233.162,443,电信,92.3,0.0
162.159.224.62,443,电信,92.4,0.0
162.159.233.143,443,电信,92.5,0.0
162.159.233.178,443,电信,93.1,0.0
162.159.224.117,443,电信,93.2,0.0
162.159.224.60,443,电信,93.4,0.0
162.159.224.46,443,电信,93.8,0.0
162.159.224.121,443,电信,97.4,0.0
